id,monster_name,description,element,growth_type,base_model_path,part_head,part_back,part_tail,palette_index,scale_x,scale_y,scale_z,base_max_hp,base_max_mp,base_attack,base_defense,base_magic,base_speed,hunger_rate,energy_rate,favorite_food,evolution_ids,evolution_level
1,フレイムペガサス,【第1形態】フレイムペガサス。古代より伝わるフレイムの力を宿すモンスター。,1,1,res://assets/models/bases/base_floating.tscn,res://assets/models/parts/horn_single.tscn,res://assets/models/parts/wings_angel.tscn,res://assets/models/parts/tail_spike.tscn,0,1.01,1.01,1.01,61,36,31,21,24,18,1.07,1.16,1,201,15
2,アクアビースト,【第1形態】アクアビースト。古代より伝わるアクアの力を宿すモンスター。,2,2,res://assets/models/bases/base_quadruped.tscn,res://assets/models/parts/horns_dual.tscn,,res://assets/models/parts/tail_spike.tscn,1,0.97,0.97,0.97,67,37,23,19,28,20,1.0,0.81,2,202,15
3,リーフタートル,【第1形態】リーフタートル。古代より伝わるリーフの力を宿すモンスター。,3,0,res://assets/models/bases/base_quadruped.tscn,,,,10,0.98,0.98,0.98,79,40,29,24,29,21,1.12,0.8,3,203,15
4,サンダーナイト,【第1形態】サンダーナイト。古代より伝わるサンダーの力を宿すモンスター。,4,1,res://assets/models/bases/base_biped.tscn,res://assets/models/parts/horn_single.tscn,,,3,1.02,1.02,1.02,72,38,28,22,24,26,1.18,0.93,0,204,15
5,ガイアクロウ,【第1形態】ガイアクロウ。古代より伝わるガイアの力を宿すモンスター。,5,2,res://assets/models/bases/base_biped.tscn,,res://assets/models/parts/wings_dragon.tscn,res://assets/models/parts/tail_spike.tscn,4,0.97,0.97,0.97,62,37,28,28,22,24,1.01,1.19,1,205,15
6,ウインドノッコ,【第1形態】ウインドノッコ。古代より伝わるウインドの力を宿すモンスター。,6,0,res://assets/models/bases/base_biped.tscn,,,,13,0.99,0.99,0.99,69,36,30,21,23,21,1.06,1.11,2,206,15
7,ホーリーフェアリー,【第1形態】ホーリーフェアリー。古代より伝わるホーリーの力を宿すモンスター。,7,1,res://assets/models/bases/base_floating.tscn,,res://assets/models/parts/wings_angel.tscn,,6,1.04,1.04,1.04,64,33,29,24,34,22,0.87,0.94,3,207,15
8,ダークパピー,【第1形態】ダークパピー。古代より伝わるダークの力を宿すモンスター。,8,2,res://assets/models/bases/base_quadruped.tscn,,,res://assets/models/parts/tail_spike.tscn,7,1.01,1.01,1.01,72,33,29,21,28,24,0.95,1.2,0,208,15
9,マグマケルベ,【第1形態】マグマケルベ。古代より伝わるマグマの力を宿すモンスター。,1,0,res://assets/models/bases/base_quadruped.tscn,res://assets/models/parts/horns_dual.tscn,,res://assets/models/parts/tail_spike.tscn,8,1.01,1.01,1.01,69,35,33,18,25,17,1.12,0.96,1,209,15
10,マリンドラコ,【第1形態】マリンドラコ。古代より伝わるマリンの力を宿すモンスター。,2,1,res://assets/models/bases/base_biped.tscn,res://assets/models/parts/horns_dual.tscn,res://assets/models/parts/wings_dragon.tscn,res://assets/models/parts/tail_spike.tscn,1,0.97,0.97,0.97,70,42,26,25,31,24,0.86,0.86,2,210,15
11,フォレストホーン,【第1形態】フォレストホーン。古代より伝わるフォレストの力を宿すモンスター。,3,2,res://assets/models/bases/base_biped.tscn,res://assets/models/parts/horns_dual.tscn,,,2,1.02,1.02,1.02,77,36,29,27,27,20,1.2,0.86,3,211,15
12,ボルトタモ,【第1形態】ボルトタモ。古代より伝わるボルトの力を宿すモンスター。,4,0,res://assets/models/bases/base_biped.tscn,,,,11,1.0,1.0,1.0,73,32,24,20,24,29,1.04,0.95,0,212,15
